Date,Open,High,Low,Close
1982-04-04,247.2,248.25,245.3,245.61
1982-04-11,248.41,248.74,245.9,248.03
1982-04-18,248.01,248.39,246.71,247.8
1982-04-25,245,245,241.14,241.14
1982-05-02,238.41,238.41,235.85,235.85
1982-05-09,236.59,237.55,232.91,232.91
1982-05-16,233.29,235.24,232.85,235.24
1982-05-23,236.84,238.94,236.84,237.6
1982-05-30,238.41,243.29,238.41,243.29
1982-06-06,244.29,244.7,243.2,243.64
1982-06-13,245.66,249.3,245.66,247.53
1982-06-20,250.64,255.15,250.64,255.15
1982-06-27,257.16,257.69,252.4,257.69
1982-07-04,258.95,258.95,254.98,257
1982-07-11,257.68,258.99,255.81,255.81
1982-07-18,254.27,257.49,254.06,254.06
1982-07-25,254.65,254.65,249.19,249.19
1982-08-01,250.95,258.11,250.95,258.11
1982-08-08,256.6,260.35,256.6,260.08
1982-08-15,262.29,263.91,262.11,262.11
1982-08-22,264.07,264.07,254.74,254.74
1982-08-29,254.6,256.6,251.01,256.6
1982-09-05,260.94,261.09,256.19,257.78
